100*Optio*destription*0*100*404 405*
101*Pullo*destription*0*85*400 406*
102*Gould*destription*0*70*405 400*
103*Iona*destription*0*100*404 406*
104*Graz*destription*1*100*401 400*
105*Benatek*destription*1*85*402 403*
106*Songe*destription*1*70*401 403*
107*Hales*destription*1*100*400 402*
108*Voltabla*destription*2*100*407 408*
109*Honolulu*destription*2*85*400 409*
110*Silla*destription*2*70*407 400*
111*Pegasi*destription*2*100*408 409*
112*Sonar*destription*3*100*410 411*
113*Ross*destription*3*85*400 412*
114*Trappi*destription*3*70*411 400*
115*Procyon*destription*3*100*410 412*
116*satan*faitmal*0*100*404 406*
